flower_id,flower_id_truth,x,y,z,head_azimuth_deg,head_tilt_deg,head_radius_m,observation_count,observed_by,bloom_state
0,18,1.0,2.831,2.55,95.22,14.75,0.1,2,"[0, 1]",not_ready
1,8,3.6,1.963,1.85,98.06,24.28,0.11,2,"[0, 1]",not_ready
2,39,4.25,1.398,1.85,92.9,17.97,0.1,2,"[0, 1]",not_ready
3,72,5.55,1.814,1.85,88.7,30.39,0.085,2,"[0, 1]",not_ready
4,32,4.9,2.978,2.05,95.0,26.8,0.11,2,"[0, 1]",not_ready
5,81,2.3,3.778,1.55,92.77,11.2,0.085,1,[0],not_ready
6,43,6.85,1.01,1.55,105.06,19.67,0.11,2,"[0, 1]",not_ready
7,74,6.2,2.796,2.55,97.9,16.48,0.085,2,"[0, 1]",prime_target
8,33,7.5,1.229,2.55,94.28,16.21,0.075,2,"[0, 1]",not_ready
9,37,6.85,2.754,2.05,100.22,25.84,0.085,2,"[0, 1]",not_ready
10,56,2.3,5.038,2.25,94.05,19.31,0.1,1,[0],not_ready
11,5,1.65,5.431,2.25,91.84,26.0,0.075,1,[0],not_ready
12,82,7.5,1.992,2.25,103.48,14.91,0.11,2,"[0, 1]",not_ready
13,0,8.15,1.175,2.05,102.31,19.0,0.075,2,"[0, 1]",not_ready
14,15,8.15,3.031,2.05,96.6,14.02,0.11,2,"[0, 1]",not_ready
15,27,2.95,6.528,2.4,91.31,21.14,0.08,2,[0],not_ready
16,40,9.45,2.396,2.55,103.97,19.8,0.11,2,"[0, 1]",not_ready
17,24,8.8,3.562,1.55,96.8,21.2,0.092,4,"[0, 1]",not_ready
18,12,8.15,3.754,2.55,90.68,19.9,0.085,2,"[0, 1]",not_ready
19,17,2.95,7.224,1.85,103.04,11.66,0.11,1,[0],not_ready
20,52,3.6,6.798,1.55,83.44,14.61,0.075,1,[0],not_ready
21,46,2.95,7.977,1.85,86.4,17.54,0.075,1,[0],not_ready
22,61,2.3,8.429,1.85,89.65,21.08,0.1,1,[0],not_ready
23,77,10.75,1.618,1.55,93.84,25.23,0.085,1,[1],not_ready
