run_id,day,flower_id,flower_id_truth,drone_id,x,y,z,pollinated_at,sweep_duration_s,status
stage15_20260524_180432,5,28,73,1,6.2,3.978,1.55,1779617146.2289383,4.0,POLLINATED
stage15_20260524_180432,5,23,77,1,10.75,1.618,1.55,1779617162.4288254,4.0,POLLINATED
stage15_20260524_180432,5,27,84,1,10.1,3.578,2.55,1779617174.0789967,4.0,POLLINATED
stage15_20260524_180432,5,48,20,1,11.4,8.626,2.05,1779617190.7290676,4.0,POLLINATED
stage15_20260524_180432,5,71,79,1,13.35,10.577,2.55,1779617203.678658,4.0,POLLINATED
stage15_20260524_180432,5,49,13,1,10.1,11.171,2.25,1779617217.9787555,4.0,POLLINATED
stage15_20260524_180432,5,40,4,1,6.2,7.206,2.25,1779617233.7790017,4.0,POLLINATED
stage15_20260524_180432,5,41,3,1,5.55,6.217,2.05,1779617246.179562,4.0,POLLINATED
stage15_20260524_180432,5,26,1,1,3.6,9.159,1.55,1779617260.4290924,4.0,POLLINATED
stage15_20260524_180432,5,19,17,1,2.95,7.224,1.85,1779617272.8288026,4.0,POLLINATED
stage15_20260524_180432,5,15,27,1,2.95,6.528,2.4,1779617282.5785568,4.0,POLLINATED
