ts,day,D0_state,D0_x,D0_y,D0_z,D0_batt,D1_state,D1_x,D1_y,D1_z,D1_batt
1779788905.336,5,IDLE,6.9,-1.0,0.1,100.0,IDLE,0.0,0.0,0.0,100.0
1779788905.837,5,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1779788906.337,5,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1779788906.837,5,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1779788907.337,5,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1779788907.836,5,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1779788908.336,5,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1779788908.836,5,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1779788909.336,5,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1779788909.837,5,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1779788910.337,5,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1779788910.837,5,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1779788911.34,5,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1779788911.837,5,TAKEOFF,6.9,-1.0,0.642,99.9,TAKEOFF,8.1,-1.0,0.642,100.0
1779788912.337,5,TAKEOFF,6.9,-1.0,1.242,99.8,TAKEOFF,8.1,-1.0,1.242,99.9
1779788912.836,5,TAKEOFF,6.9,-1.0,1.842,99.8,TAKEOFF,8.1,-1.0,1.842,99.8
1779788913.337,5,TAKEOFF,6.9,-1.0,2.442,99.7,TAKEOFF,8.1,-1.0,2.442,99.7
1779788913.837,5,TAKEOFF,6.9,-1.0,3.042,99.6,TAKEOFF,8.1,-1.0,3.042,99.7
1779788914.337,5,TAKEOFF,6.9,-1.0,3.555,99.5,TAKEOFF,8.1,-1.0,3.553,99.6
1779788914.837,5,TAKEOFF,6.9,-1.0,3.8,99.4,TAKEOFF,8.1,-1.0,3.798,99.5
1779788915.336,5,SURVEY,6.1,-0.408,3.91,99.3,SURVEY,8.49,-0.405,3.908,99.4
1779788915.836,5,SURVEY,5.1,0.017,3.959,99.3,SURVEY,8.766,0.016,3.959,99.3
1779788916.337,5,SURVEY,4.1,0.242,3.982,99.2,SURVEY,8.914,0.414,3.981,99.2
1779788916.836,5,SURVEY,3.102,0.363,3.992,99.1,SURVEY,8.993,1.414,3.992,99.2
1779788917.336,5,SURVEY,2.392,0.427,3.996,99.0,SURVEY,9.035,2.414,3.996,99.1
1779788917.836,5,SURVEY,2.014,0.461,3.998,98.9,SURVEY,9.058,3.414,3.998,99.0
1779788918.337,5,SURVEY,1.813,1.172,3.999,98.8,SURVEY,9.07,4.414,3.999,98.9
1779788918.837,5,SURVEY,1.706,2.172,4.0,98.8,SURVEY,9.076,5.414,4.0,98.8
1779788919.337,5,SURVEY,1.648,3.172,4.0,98.7,SURVEY,9.079,6.414,4.0,98.7
1779788919.837,5,SURVEY,1.618,4.172,4.0,98.6,SURVEY,9.081,7.414,4.0,98.7
1779788920.337,5,SURVEY,1.602,5.172,4.0,98.5,SURVEY,9.082,8.414,4.0,98.6
1779788920.836,5,SURVEY,1.593,6.172,4.0,98.4,SURVEY,9.083,9.414,4.0,98.5
1779788921.337,5,SURVEY,1.589,7.172,4.0,98.3,SURVEY,9.083,10.414,4.0,98.4
1779788921.837,5,SURVEY,1.586,8.172,4.0,98.3,SURVEY,9.083,11.414,4.0,98.3
1779788922.337,5,SURVEY,1.585,9.172,4.0,98.2,SURVEY,9.083,12.414,4.0,98.2
1779788922.837,5,SURVEY,1.584,10.172,4.0,98.1,SURVEY,9.083,13.34,4.0,98.2
1779788923.336,5,SURVEY,1.584,11.172,4.0,98.0,SURVEY,9.083,13.88,4.0,98.1
1779788923.836,5,SURVEY,1.584,12.172,4.0,97.9,SURVEY,9.195,14.169,4.0,98.0
1779788924.337,5,SURVEY,1.583,13.151,4.0,97.8,SURVEY,10.115,14.323,4.0,97.9
1779788924.836,5,SURVEY,1.583,13.782,4.0,97.8,SURVEY,10.643,14.406,4.0,97.8
1779788925.337,5,SURVEY,1.583,14.117,4.0,97.7,SURVEY,10.927,14.334,4.0,97.7
1779788925.836,5,SURVEY,2.456,14.296,4.0,97.6,SURVEY,11.077,13.334,4.0,97.7
1779788926.337,5,SURVEY,3.061,14.392,4.0,97.5,SURVEY,11.158,12.334,4.0,97.6
1779788926.836,5,SURVEY,3.383,14.442,4.0,97.4,SURVEY,11.201,11.334,4.0,97.5
1779788927.337,5,SURVEY,3.554,13.542,4.0,97.3,SURVEY,11.224,10.334,4.0,97.4
1779788927.837,5,SURVEY,3.646,12.542,4.0,97.2,SURVEY,11.236,9.334,4.0,97.3
1779788928.337,5,SURVEY,3.694,11.542,4.0,97.2,SURVEY,11.242,8.334,4.0,97.2
1779788928.836,5,SURVEY,3.72,10.542,4.0,97.1,SURVEY,11.246,7.334,4.0,97.2
1779788929.337,5,SURVEY,3.734,9.542,4.0,97.0,SURVEY,11.248,6.334,4.0,97.1
1779788929.836,5,SURVEY,3.742,8.542,4.0,96.9,SURVEY,11.249,5.334,4.0,97.0
1779788930.336,5,SURVEY,3.746,7.542,4.0,96.8,SURVEY,11.249,4.334,4.0,96.9
1779788930.837,5,SURVEY,3.748,6.542,4.0,96.8,SURVEY,11.25,3.334,4.0,96.8
1779788931.337,5,SURVEY,3.749,5.542,4.0,96.7,SURVEY,11.25,2.334,4.0,96.7
1779788931.836,5,SURVEY,3.749,4.542,4.0,96.6,SURVEY,11.25,1.49,4.0,96.7
1779788932.337,5,SURVEY,3.75,3.542,4.0,96.5,SURVEY,11.25,1.029,4.0,96.6
1779788932.836,5,SURVEY,3.75,2.542,4.0,96.4,SURVEY,11.658,0.783,4.0,96.5
1779788933.337,5,SURVEY,3.75,1.626,4.0,96.3,SURVEY,12.472,0.651,4.0,96.4
1779788933.837,5,SURVEY,3.75,1.1,4.0,96.3,SURVEY,12.912,0.581,4.0,96.3
1779788934.337,5,SURVEY,3.958,0.82,4.0,96.2,SURVEY,13.148,0.964,4.0,96.2
1779788934.837,5,SURVEY,4.848,0.67,4.0,96.1,SURVEY,13.273,1.964,4.0,96.2
1779788935.337,5,SURVEY,5.348,0.591,4.0,96.0,SURVEY,13.34,2.964,4.0,96.1
1779788935.837,5,SURVEY,5.614,0.763,4.0,95.9,SURVEY,13.376,3.964,4.0,96.0
1779788936.336,5,SURVEY,5.755,1.763,4.0,95.8,SURVEY,13.395,4.964,4.0,95.9
1779788936.836,5,SURVEY,5.831,2.763,4.0,95.8,SURVEY,13.405,5.964,4.0,95.8
1779788937.337,5,SURVEY,5.871,3.763,4.0,95.7,SURVEY,13.41,6.964,4.0,95.7
1779788937.837,5,SURVEY,5.892,4.763,4.0,95.6,SURVEY,13.413,7.964,4.0,95.7
1779788938.336,5,SURVEY,5.904,5.763,4.0,95.5,SURVEY,13.415,8.964,4.0,95.6
1779788938.837,5,SURVEY,5.91,6.763,4.0,95.4,SURVEY,13.416,9.964,4.0,95.5
1779788939.337,5,SURVEY,5.913,7.763,4.0,95.3,SURVEY,13.416,10.964,4.0,95.4
1779788939.836,5,SURVEY,5.915,8.763,4.0,95.3,SURVEY,13.416,11.964,4.0,95.3
1779788940.336,5,SURVEY,5.916,9.763,4.0,95.2,SURVEY,13.417,12.963,4.0,95.2
1779788940.837,5,SURVEY,5.916,10.763,4.0,95.1,SURVEY,13.417,13.679,4.0,95.2
1779788941.336,5,SURVEY,5.916,11.763,4.0,95.0,SURVEY,13.417,14.061,4.0,95.1
1779788941.837,5,SURVEY,5.917,12.763,4.0,94.9,SURVEY,12.809,13.551,4.0,95.0
1779788942.337,5,SURVEY,5.917,13.571,4.0,94.8,RETURN_FROM_SURVEY,11.809,12.551,4.0,94.9
1779788942.837,5,SURVEY,5.917,14.005,4.0,94.8,RETURN_FROM_SURVEY,10.809,11.551,4.0,94.8
1779788943.337,5,RETURN_FROM_SURVEY,6.135,13.763,4.0,94.7,RETURN_FROM_SURVEY,9.809,10.551,4.0,94.7
1779788943.837,5,RETURN_FROM_SURVEY,6.492,12.763,4.0,94.6,RETURN_FROM_SURVEY,9.015,9.551,4.0,94.7
1779788944.337,5,RETURN_FROM_SURVEY,6.683,11.763,4.0,94.5,RETURN_FROM_SURVEY,8.589,8.551,4.0,94.6
1779788944.836,5,RETURN_FROM_SURVEY,6.784,10.763,4.0,94.4,RETURN_FROM_SURVEY,8.361,7.551,4.0,94.5
1779788945.336,5,RETURN_FROM_SURVEY,6.838,9.763,4.0,94.3,RETURN_FROM_SURVEY,8.239,6.551,4.0,94.4
1779788945.837,5,RETURN_FROM_SURVEY,6.867,8.763,4.0,94.3,RETURN_FROM_SURVEY,8.174,5.551,4.0,94.3
1779788946.336,5,RETURN_FROM_SURVEY,6.882,7.763,4.0,94.2,RETURN_FROM_SURVEY,8.14,4.551,4.0,94.2
1779788946.837,5,RETURN_FROM_SURVEY,6.891,6.763,4.0,94.1,RETURN_FROM_SURVEY,8.121,3.551,4.0,94.2
1779788947.337,5,RETURN_FROM_SURVEY,6.895,5.763,4.0,94.0,RETURN_FROM_SURVEY,8.111,2.551,4.0,94.1
1779788947.836,5,RETURN_FROM_SURVEY,6.897,4.763,4.0,93.9,RETURN_FROM_SURVEY,8.106,1.551,4.0,94.0
1779788948.337,5,RETURN_FROM_SURVEY,6.899,3.763,4.0,93.8,RETURN_FROM_SURVEY,8.103,0.551,4.0,93.9
1779788948.836,5,RETURN_FROM_SURVEY,6.899,2.763,4.0,93.8,RETURN_FROM_SURVEY,8.102,-0.171,4.0,93.8
1779788949.337,5,RETURN_FROM_SURVEY,6.9,1.763,4.0,93.7,RETURN_FROM_SURVEY,8.101,-0.557,4.0,93.7
1779788949.836,5,RETURN_FROM_SURVEY,6.9,0.763,4.0,93.6,RETURN_FROM_SURVEY,8.1,-0.763,3.757,93.7
1779788950.337,5,RETURN_FROM_SURVEY,6.9,-0.056,4.0,93.5,LAND_SURVEY,8.1,-0.873,3.357,93.6
1779788950.837,5,RETURN_FROM_SURVEY,6.9,-0.497,4.0,93.4,LAND_SURVEY,8.1,-0.932,2.957,93.5
1779788951.337,5,LAND_SURVEY,6.9,-0.731,3.84,93.3,LAND_SURVEY,8.1,-0.964,2.557,93.4
1779788951.837,5,LAND_SURVEY,6.9,-0.857,3.44,93.3,LAND_SURVEY,8.1,-0.981,2.157,93.3
1779788952.336,5,LAND_SURVEY,6.9,-0.924,3.04,93.2,LAND_SURVEY,8.1,-0.99,1.757,93.2
1779788952.836,5,LAND_SURVEY,6.9,-0.959,2.64,93.1,LAND_SURVEY,8.1,-0.994,1.357,93.2
1779788953.337,5,LAND_SURVEY,6.9,-0.978,2.24,93.0,LAND_SURVEY,8.1,-0.997,0.957,93.1
1779788953.836,5,LAND_SURVEY,6.9,-0.988,1.84,92.9,LAND_SURVEY,8.1,-0.998,0.653,93.0
1779788954.336,5,LAND_SURVEY,6.9,-0.994,1.44,92.8,LAND_SURVEY,8.1,-0.999,0.586,92.9
1779788954.836,5,LAND_SURVEY,6.9,-0.997,1.04,92.8,AWAIT_ROUTE,8.1,-0.999,0.586,92.9
1779788955.337,5,LAND_SURVEY,6.9,-0.998,0.698,92.7,AWAIT_ROUTE,8.1,-0.999,0.586,92.9
