ts,day,drone_id,type,payload_json
1780557593.809,1,,mission_start,"{""n_drones"":2,""mode"":""full_cycle"",""start_day"":1,""day_max"":8}"
1780557595.735,1,0,drone_at_base,{}
1780557595.85,1,1,drone_at_base,{}
1780557600.304,1,,day_start,"{""day"":1,""counts"":{""not_ready"":67,""opening"":3,""prime_target"":0,""partial_target"":0,""spent"":0}}"
1780557600.304,1,,survey_start,"{""day"":1}"
1780557666.586,1,0,survey_done,"{""n_observed"":0}"
1780557682.9,1,1,survey_done,"{""n_observed"":2}"
1780557685.306,1,,merge_complete,"{""unique_targets"":2}"
1780557685.307,1,,routes_assigned,"{""route_counts"":{""0"":1,""1"":1},""day"":1}"
1780557701.286,1,0,pollination_success,"{""flower_id"":200003,""x"":10.083,""y"":6.993,""cumulative_total"":1}"
1780557706.3,1,1,pollination_success,"{""flower_id"":200001,""x"":9.715,""y"":13.552,""cumulative_total"":2}"
1780557714.741,1,0,drone_at_base,{}
1780557724.357,1,1,drone_at_base,{}
1780557724.803,1,,day_complete,"{""day"":1,""pollinated_today"":2}"
1780557728.808,2,,day_start,"{""day"":2,""counts"":{""not_ready"":58,""opening"":12,""prime_target"":0,""partial_target"":0,""spent"":0}}"
1780557728.808,2,,survey_start,"{""day"":2}"
1780557816.687,2,0,survey_done,"{""n_observed"":4}"
1780557837.6,2,1,survey_done,"{""n_observed"":8}"
1780557840.305,2,,merge_complete,"{""unique_targets"":12}"
1780557840.305,2,,routes_assigned,"{""route_counts"":{""0"":6,""1"":6},""day"":2}"
1780557856.937,2,0,pollination_success,"{""flower_id"":200004,""x"":7.914,""y"":0.654,""cumulative_total"":3}"
1780557857.05,2,1,pollination_success,"{""flower_id"":200005,""x"":7.623,""y"":2.19,""cumulative_total"":4}"
1780557873.351,2,1,pollination_success,"{""flower_id"":100004,""x"":5.054,""y"":4.051,""cumulative_total"":5}"
1780557881.286,2,0,pollination_success,"{""flower_id"":200007,""x"":9.854,""y"":3.729,""cumulative_total"":6}"
1780557895.1,2,1,pollination_success,"{""flower_id"":100003,""x"":4.36,""y"":5.051,""cumulative_total"":7}"
1780557911.486,2,0,pollination_success,"{""flower_id"":200008,""x"":13.15,""y"":6.83,""cumulative_total"":8}"
1780557914.301,2,1,pollination_success,"{""flower_id"":200003,""x"":10.101,""y"":7.012,""cumulative_total"":9}"
1780557930.035,2,0,pollination_success,"{""flower_id"":200002,""x"":9.033,""y"":11.139,""cumulative_total"":10}"
1780557939.7,2,1,pollination_success,"{""flower_id"":200006,""x"":8.165,""y"":12.008,""cumulative_total"":11}"
1780557948.486,2,0,pollination_success,"{""flower_id"":100005,""x"":4.486,""y"":10.189,""cumulative_total"":12}"
1780557957.6,2,1,pollination_success,"{""flower_id"":200001,""x"":9.646,""y"":13.592,""cumulative_total"":13}"
1780557963.735,2,0,pollination_success,"{""flower_id"":100002,""x"":3.306,""y"":9.722,""cumulative_total"":14}"
