run_id,day,drone_id,landmark_id,x,y,pollinated_at
stage16_20260606_131420,1,1,5038,7.57,2.174,2026-06-06 13:16:28
stage16_20260606_131420,1,0,5037,7.915,0.758,2026-06-06 13:16:28
stage16_20260606_131420,1,0,5033,12.602,4.255,2026-06-06 13:16:42
stage16_20260606_131420,1,1,5002,6.737,3.587,2026-06-06 13:16:42
stage16_20260606_131420,1,1,5001,4.456,6.576,2026-06-06 13:16:55
stage16_20260606_131420,1,0,5036,8.221,12.003,2026-06-06 13:17:00
stage16_20260606_131420,1,1,5035,7.947,8.315,2026-06-06 13:17:07
stage16_20260606_131420,1,0,5000,6.637,14.08,2026-06-06 13:17:13
stage16_20260606_131420,1,1,5032,12.967,6.81,2026-06-06 13:17:23
stage16_20260606_131420,1,0,5003,1.301,6.642,2026-06-06 13:17:32
stage16_20260606_131420,1,1,5034,9.732,13.55,2026-06-06 13:17:39
stage16_20260606_131420,2,0,5010,2.648,2.571,2026-06-06 13:20:02
stage16_20260606_131420,2,1,5060,8.024,4.087,2026-06-06 13:20:06
stage16_20260606_131420,2,1,5059,9.85,5.114,2026-06-06 13:20:17
stage16_20260606_131420,2,0,5053,11.483,2.248,2026-06-06 13:20:20
stage16_20260606_131420,2,1,5041,10.563,3.476,2026-06-06 13:20:32
stage16_20260606_131420,2,0,5054,10.021,9.78,2026-06-06 13:20:39
stage16_20260606_131420,2,1,5061,13.383,10.98,2026-06-06 13:20:50
stage16_20260606_131420,2,0,5049,9.415,11.984,2026-06-06 13:20:54
stage16_20260606_131420,2,1,5022,3.667,11.631,2026-06-06 13:21:12
stage16_20260606_131420,3,0,5006,3.881,1.022,2026-06-06 13:24:01
stage16_20260606_131420,3,1,5047,8.529,1.828,2026-06-06 13:24:02
stage16_20260606_131420,3,0,5019,3.704,2.491,2026-06-06 13:24:11
stage16_20260606_131420,3,1,5039,10.448,1.508,2026-06-06 13:24:15
stage16_20260606_131420,3,0,5028,1.134,4.484,2026-06-06 13:24:26
stage16_20260606_131420,3,1,5011,6.556,4.513,2026-06-06 13:24:31
stage16_20260606_131420,3,0,5063,4.441,10.183,2026-06-06 13:24:40
stage16_20260606_131420,3,1,5008,4.713,1.811,2026-06-06 13:24:45
stage16_20260606_131420,3,0,5005,2.4,12.822,2026-06-06 13:24:53
stage16_20260606_131420,3,1,5009,2.358,6.639,2026-06-06 13:25:00
stage16_20260606_131420,3,0,5007,5.779,13.392,2026-06-06 13:25:07
stage16_20260606_131420,3,1,5017,3.782,8.722,2026-06-06 13:25:13
stage16_20260606_131420,3,0,5046,9.058,14.092,2026-06-06 13:25:24
stage16_20260606_131420,3,1,5013,4.419,12.833,2026-06-06 13:25:28
stage16_20260606_131420,3,0,5042,11.409,11.694,2026-06-06 13:25:37
stage16_20260606_131420,3,1,5015,2.841,13.723,2026-06-06 13:25:43
stage16_20260606_131420,3,0,5057,13.3,9.148,2026-06-06 13:25:50
stage16_20260606_131420,3,1,5045,12.252,11.302,2026-06-06 13:26:02
stage16_20260606_131420,4,1,5020,5.569,1.649,2026-06-06 13:28:39
stage16_20260606_131420,4,0,5004,6.248,2.735,2026-06-06 13:28:43
stage16_20260606_131420,4,1,5014,5.774,3.598,2026-06-06 13:28:54
stage16_20260606_131420,4,0,5027,1.823,3.246,2026-06-06 13:29:00
stage16_20260606_131420,4,1,5050,10.125,2.715,2026-06-06 13:29:12
stage16_20260606_131420,4,0,5043,9.545,6.139,2026-06-06 13:29:21
stage16_20260606_131420,4,1,5048,12.389,8.95,2026-06-06 13:29:28
stage16_20260606_131420,4,0,5056,11.543,6.459,2026-06-06 13:29:33
stage16_20260606_131420,4,1,5051,7.824,9.402,2026-06-06 13:29:44
stage16_20260606_131420,4,0,5023,5.403,12.434,2026-06-06 13:29:48
stage16_20260606_131420,4,1,5029,7.227,12.204,2026-06-06 13:29:57
stage16_20260606_131420,4,0,5012,5.713,14.274,2026-06-06 13:30:02
stage16_20260606_131420,4,1,5021,5.155,11.006,2026-06-06 13:30:12
stage16_20260606_131420,5,1,5031,3.327,3.697,2026-06-06 13:32:51
stage16_20260606_131420,5,0,5025,1.241,1.985,2026-06-06 13:32:51
stage16_20260606_131420,5,1,5044,10.8,5.234,2026-06-06 13:33:09
stage16_20260606_131420,5,0,5026,3.574,10.404,2026-06-06 13:33:09
stage16_20260606_131420,5,0,5052,13.985,12.389,2026-06-06 13:33:29
stage16_20260606_131420,5,1,5040,12.506,13.972,2026-06-06 13:33:30
stage16_20260606_131420,6,0,5016,4.412,3.588,2026-06-06 13:35:38
stage16_20260606_131420,6,1,5024,6.362,7.258,2026-06-06 13:35:42
stage16_20260606_131420,6,1,5055,9.684,8.053,2026-06-06 13:35:57
