run_id,flower_id,sector,drone_id,x,y,bloom_day,pollinated_at,status
RUN_1,F247,RIGHT,2,47.78,16.76,1,2026-05-07 16:28:14,POLLINATED
RUN_2,F128,CENTER,1,29.15,17.34,1,2026-05-07 16:36:13,POLLINATED
RUN_2,F185,CENTER,1,29.33,16.19,1,2026-05-07 16:36:16,POLLINATED
RUN_2,F031,LEFT,0,4.85,1.11,1,2026-05-07 16:36:19,POLLINATED
RUN_2,F062,LEFT,0,5.54,17.08,1,2026-05-07 16:36:22,POLLINATED
RUN_2,F291,RIGHT,2,41.93,14.83,1,2026-05-07 16:36:25,POLLINATED
RUN_2,F267,RIGHT,2,49.23,13.17,1,2026-05-07 16:36:28,POLLINATED
RUN_2,F275,RIGHT,2,53.79,0.92,1,2026-05-07 16:36:31,POLLINATED
RUN_2,F074,LEFT,0,8.15,6.95,1,2026-05-07 16:36:34,POLLINATED
RUN_2,F201,CENTER,1,21.36,1.54,1,2026-05-07 16:36:37,POLLINATED
RUN_2,F136,CENTER,1,22.81,3.03,1,2026-05-07 16:36:40,POLLINATED
RUN_2,F124,CENTER,1,24.96,6.4,1,2026-05-07 16:36:43,POLLINATED
RUN_2,F067,LEFT,0,4.87,4.68,1,2026-05-07 16:36:46,POLLINATED
RUN_2,F064,LEFT,0,10.75,14.37,1,2026-05-07 16:36:49,POLLINATED
RUN_2,F082,LEFT,0,5.54,15.4,1,2026-05-07 16:36:52,POLLINATED
RUN_2,F135,CENTER,1,31.09,17.93,1,2026-05-07 16:36:55,POLLINATED
RUN_2,F069,LEFT,0,18.27,11.35,1,2026-05-07 16:36:58,POLLINATED
RUN_2,F173,CENTER,1,27.51,12.01,1,2026-05-07 16:37:01,POLLINATED
RUN_2,F196,CENTER,1,33.61,4.14,1,2026-05-07 16:37:04,POLLINATED
RUN_2,F053,LEFT,0,0.51,6.66,1,2026-05-07 16:37:07,POLLINATED
RUN_2,F099,CENTER,1,21.23,11.83,1,2026-05-07 16:37:10,POLLINATED
RUN_2,F070,LEFT,0,9.48,15.41,1,2026-05-07 16:37:13,POLLINATED
RUN_2,F269,RIGHT,2,41.9,18.46,1,2026-05-07 16:37:16,POLLINATED
RUN_2,F251,RIGHT,2,42.9,18.84,1,2026-05-07 16:37:19,POLLINATED
RUN_2,F248,RIGHT,2,49.49,17.86,1,2026-05-07 16:37:22,POLLINATED
RUN_2,F243,RIGHT,2,49.7,6.82,1,2026-05-07 16:37:25,POLLINATED
RUN_2,F103,CENTER,1,24.11,1.34,1,2026-05-07 16:37:28,POLLINATED
RUN_2,F181,CENTER,1,21.81,12.8,1,2026-05-07 16:37:31,POLLINATED
RUN_2,F260,RIGHT,2,46.66,1.57,1,2026-05-07 16:37:34,POLLINATED
RUN_2,F037,LEFT,0,11.61,17.56,1,2026-05-07 16:37:37,POLLINATED
RUN_2,F068,LEFT,0,4.57,3.01,1,2026-05-07 16:37:40,POLLINATED
RUN_2,F066,LEFT,0,6.92,11.68,1,2026-05-07 16:37:43,POLLINATED
RUN_2,F034,LEFT,0,17.15,6.48,1,2026-05-07 16:37:46,POLLINATED
RUN_2,F252,RIGHT,2,46.81,2.41,1,2026-05-07 16:37:49,POLLINATED
RUN_2,F097,LEFT,0,13.1,18.34,1,2026-05-07 16:37:52,POLLINATED
RUN_2,F240,RIGHT,2,45.58,0.55,1,2026-05-07 16:37:55,POLLINATED
RUN_2,F061,LEFT,0,9.53,10.95,1,2026-05-07 16:37:58,POLLINATED
RUN_2,F286,RIGHT,2,57.15,7.45,1,2026-05-07 16:38:01,POLLINATED
RUN_2,F026,LEFT,0,3.75,14.35,1,2026-05-07 16:38:04,POLLINATED
RUN_2,F129,CENTER,1,31.44,14.15,1,2026-05-07 16:38:07,POLLINATED
RUN_2,F177,CENTER,1,31.75,16.28,1,2026-05-07 16:38:10,POLLINATED
RUN_2,F294,RIGHT,2,53.32,9.46,1,2026-05-07 16:38:13,POLLINATED
RUN_2,F141,CENTER,1,36.87,9.05,1,2026-05-07 16:38:16,POLLINATED
RUN_2,F051,LEFT,0,12.07,3.4,1,2026-05-07 16:38:19,POLLINATED
RUN_2,F205,RIGHT,2,44.85,13.31,1,2026-05-07 16:38:22,POLLINATED
RUN_2,F213,RIGHT,2,48.26,6.6,1,2026-05-07 16:38:25,POLLINATED
RUN_2,F002,LEFT,0,5.73,4.74,1,2026-05-07 16:38:28,POLLINATED
RUN_2,F171,CENTER,1,21.09,5.2,1,2026-05-07 16:38:31,POLLINATED
RUN_2,F197,CENTER,1,34.53,5.75,1,2026-05-07 16:38:34,POLLINATED
RUN_2,F076,LEFT,0,8.52,5.79,1,2026-05-07 16:38:37,POLLINATED
RUN_2,F078,LEFT,0,10.96,1.46,1,2026-05-07 16:38:40,POLLINATED
RUN_2,F235,RIGHT,2,43.25,4.12,1,2026-05-07 16:38:43,POLLINATED
RUN_2,F143,CENTER,1,25.77,15.28,1,2026-05-07 16:38:46,POLLINATED
RUN_2,F250,RIGHT,2,55.56,12.89,1,2026-05-07 16:38:49,POLLINATED
RUN_2,F184,CENTER,1,23.85,10.41,1,2026-05-07 16:38:52,POLLINATED
RUN_2,F145,CENTER,1,37.47,2.03,1,2026-05-07 16:38:55,POLLINATED
RUN_2,F158,CENTER,1,37.56,9.78,1,2026-05-07 16:38:58,POLLINATED
RUN_2,F079,LEFT,0,18.91,18.1,1,2026-05-07 16:39:01,POLLINATED
RUN_2,F271,RIGHT,2,58.78,13.62,1,2026-05-07 16:39:04,POLLINATED
RUN_2,F083,LEFT,0,9.15,8.54,1,2026-05-07 16:39:07,POLLINATED
RUN_2,F148,CENTER,1,28.38,6.79,1,2026-05-07 16:39:10,POLLINATED
RUN_2,F206,RIGHT,2,56.85,11.66,1,2026-05-07 16:39:13,POLLINATED
RUN_2,F118,CENTER,1,32.03,6.62,1,2026-05-07 16:39:16,POLLINATED
RUN_2,F042,LEFT,0,1.71,7.75,1,2026-05-07 16:39:19,POLLINATED
RUN_2,F226,RIGHT,2,41.05,12.47,1,2026-05-07 16:39:22,POLLINATED
RUN_2,F266,RIGHT,2,49.96,11.58,1,2026-05-07 16:39:25,POLLINATED
RUN_2,F188,CENTER,1,29.89,6.68,1,2026-05-07 16:39:28,POLLINATED
RUN_2,F263,RIGHT,2,53.45,3.92,1,2026-05-07 16:39:31,POLLINATED
RUN_3,F081,LEFT,0,7.7,19.22,2,2026-05-07 16:40:34,POLLINATED
RUN_3,F014,LEFT,0,2.26,2.34,2,2026-05-07 16:40:37,POLLINATED
RUN_3,F104,CENTER,1,28.79,10.38,2,2026-05-07 16:40:40,POLLINATED
RUN_3,F142,CENTER,1,34.78,16.46,2,2026-05-07 16:40:43,POLLINATED
RUN_3,F058,LEFT,0,2.13,9.73,2,2026-05-07 16:40:46,POLLINATED
RUN_3,F021,LEFT,0,2.42,5.78,2,2026-05-07 16:40:49,POLLINATED
RUN_3,F144,CENTER,1,29.71,5.05,2,2026-05-07 16:40:52,POLLINATED
RUN_3,F216,RIGHT,2,53.09,8.11,2,2026-05-07 16:40:55,POLLINATED
RUN_3,F215,RIGHT,2,48.32,9.91,2,2026-05-07 16:40:58,POLLINATED
RUN_3,F132,CENTER,1,37.46,16.85,2,2026-05-07 16:41:01,POLLINATED
RUN_3,F152,CENTER,1,20.87,17.23,2,2026-05-07 16:41:04,POLLINATED
RUN_3,F091,LEFT,0,8.47,11.59,2,2026-05-07 16:41:07,POLLINATED
RUN_3,F159,CENTER,1,25.69,9.73,2,2026-05-07 16:41:10,POLLINATED
RUN_3,F239,RIGHT,2,46.96,15.47,2,2026-05-07 16:41:13,POLLINATED
RUN_3,F191,CENTER,1,28.22,11.05,2,2026-05-07 16:41:16,POLLINATED
RUN_3,F287,RIGHT,2,50.03,5.68,2,2026-05-07 16:41:19,POLLINATED
RUN_3,F055,LEFT,0,17.2,16.3,2,2026-05-07 16:41:22,POLLINATED
RUN_3,F281,RIGHT,2,54.86,15.08,2,2026-05-07 16:41:25,POLLINATED
RUN_3,F174,CENTER,1,26.41,11.5,2,2026-05-07 16:41:28,POLLINATED
RUN_3,F125,CENTER,1,35.82,3.3,2,2026-05-07 16:41:31,POLLINATED
RUN_3,F065,LEFT,0,8.82,10.33,2,2026-05-07 16:41:34,POLLINATED
RUN_3,F233,RIGHT,2,46.05,13.9,2,2026-05-07 16:41:37,POLLINATED
RUN_3,F022,LEFT,0,12.58,7.43,2,2026-05-07 16:41:40,POLLINATED
RUN_3,F054,LEFT,0,0.87,18.15,2,2026-05-07 16:41:43,POLLINATED
RUN_3,F045,LEFT,0,5.57,12.68,2,2026-05-07 16:41:46,POLLINATED
RUN_3,F204,RIGHT,2,51.97,0.99,2,2026-05-07 16:41:49,POLLINATED
RUN_3,F218,RIGHT,2,42.17,5.3,2,2026-05-07 16:41:52,POLLINATED
RUN_3,F087,LEFT,0,10.05,16.7,2,2026-05-07 16:41:55,POLLINATED
RUN_3,F123,CENTER,1,22.27,18.59,2,2026-05-07 16:41:58,POLLINATED
RUN_3,F156,CENTER,1,36.38,10.73,2,2026-05-07 16:42:01,POLLINATED
RUN_3,F140,CENTER,1,28.97,3.52,2,2026-05-07 16:42:04,POLLINATED
RUN_3,F028,LEFT,0,19.3,12.66,2,2026-05-07 16:42:07,POLLINATED
RUN_3,F187,CENTER,1,33.2,6.89,2,2026-05-07 16:42:10,POLLINATED
RUN_3,F249,RIGHT,2,47.74,19.28,2,2026-05-07 16:42:13,POLLINATED
RUN_3,F029,LEFT,0,11.08,13.51,2,2026-05-07 16:42:16,POLLINATED
RUN_3,F189,CENTER,1,31.83,17.22,2,2026-05-07 16:42:19,POLLINATED
RUN_3,F120,CENTER,1,30.21,15.58,2,2026-05-07 16:42:22,POLLINATED
RUN_3,F221,RIGHT,2,40.52,17.02,2,2026-05-07 16:42:25,POLLINATED
RUN_3,F183,CENTER,1,29.81,8.74,2,2026-05-07 16:42:28,POLLINATED
RUN_3,F209,RIGHT,2,50.36,8.9,2,2026-05-07 16:42:31,POLLINATED
